Date,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
2017-08-01,RBLBANK,EQ,2017-08-01,534.75,537.85,539.5,527.0,531.85,530.45,533.3,1033386,551109788.3,18622,518068,50.13,8,2017,527.930742577432,-0.8041140719962536,Slight negative
2017-08-02,RBLBANK,EQ,2017-08-02,530.45,531.95,535.75,526.35,526.55,527.4,532.0,1033249,549684640.45,15778,606276,58.68,8,2017,527.9244448600767,-0.5749835045716023,Slight negative
2017-08-03,RBLBANK,EQ,2017-08-03,527.4,526.55,531.2,515.0,519.0,517.35,522.65,914352,477889310.85,13596,429479,46.97,8,2017,527.8145623099047,-1.9055745164960114,Negative
2017-08-04,RBLBANK,EQ,2017-08-04,517.35,519.0,519.0,508.5,514.0,515.05,513.67,1116067,573285327.65,17628,546527,48.97,8,2017,527.6546874844288,-0.4445733062723667,Slight or no change
2017-08-07,RBLBANK,EQ,2017-08-07,515.05,518.7,523.35,517.0,520.0,519.45,520.59,582059,303012319.25,8389,269037,46.22,8,2017,527.6014416884594,0.8542859916513157,Slight positive
2017-08-08,RBLBANK,EQ,2017-08-08,519.45,521.85,522.0,506.2,511.0,511.8,513.27,954207,489761576.0,12301,426038,44.65,8,2017,527.4351005960162,-1.4727115218019171,Negative
2017-08-09,RBLBANK,EQ,2017-08-09,511.8,512.4,512.4,493.2,495.0,497.2,501.93,1320783,662934898.15,27789,690071,52.25,8,2017,527.0008697723235,-2.852676826885503,Negative
2017-08-10,RBLBANK,EQ,2017-08-10,497.2,499.7,505.0,482.35,492.0,490.35,494.94,1507305,746021460.75,33173,579361,38.44,8,2017,526.4098489215522,-1.3777152051488217,Negative
2017-08-11,RBLBANK,EQ,2017-08-11,490.35,477.0,498.95,474.95,490.05,490.3,486.9,1164361,566927147.75,16991,407660,35.01,8,2017,525.9655715275891,-0.010196798205364122,Slight or no change
2017-08-14,RBLBANK,EQ,2017-08-14,490.3,492.8,501.9,490.6,498.0,497.75,497.59,673664,335211736.35,15663,259143,38.47,8,2017,525.7661405851387,1.5194778706914214,Positive
